,Hauptkategorie,Subkategorie_1,Subkategorie_2,Ist 2018,Soll 2019,Soll 2020,Ist 2021,Ist 2022,Ist 2023,Soll 2024,Soll 2025,Plan 2026,Plan 2027,Plan 2028,Produktgruppe,Subprodukt,Ist 2023 %,Percentagechange Ist 2018 vs. Ist 2023,Ist 2018 %
86,Leistungsmengen,Übertritte (in %) in die Mittelschule ab 3. Sek. (3j-Mittel),Übertritte (in %) in die Mittelschule ab 3. Sek. (3j-Mittel),4.0,6.0,5.0,4.0,4.0,6.0,5.0,5.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",50.0,50.0,0
87,Leistungsmengen,Anzahl Vollzeiteinheiten für Sekundarstufe I,Anzahl Vollzeiteinheiten für Sekundarstufe I,157.8,155.3,159.0,174.3,176.0,192.0,214.0,219.5,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",21.67300380228136,21.7,0
88,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,gesamt,10.6,12.0,14.4,15.4,15.0,20.2,19.3,19.2,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",90.56603773584906,90.6,0
89,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Deutsch als Zweitsprache (DaZ),2.2,3.0,5.2,5.8,4.9,7.8,7.8,6.7,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",254.5454545454545,254.5,0
90,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Integrative Förderung (IF),5.7,6.0,6.0,7.0,7.4,9.5,8.7,9.7,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",66.66666666666666,66.7,0
91,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Integrative Förderung plus,0.6,1.0,1.0,0.2,0.0,0.0,0.0,0.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-100.0,-100.0,0
92,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Therapien,2.1,2.0,2.2,2.4,2.7,2.9,2.8,2.8,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",38.09523809523809,38.1,0
93,Leistungsmengen,Anteil (in %) von Schüler:innen in besonderen Klassen (1),Anteil (in %) von Schüler:innen in besonderen Klassen (1),1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",100.0,100.0,0
94,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Anzahl Fälle Schulpsychologischer Dienst (SPD),467.0,400.0,479.0,410.0,355.0,350.0,362.0,357.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-25.053533190578158,-25.1,0
95,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Abklärungen/Beratungen,181.0,135.0,186.0,174.0,170.0,196.0,174.0,200.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",8.287292817679557,8.3,0
96,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Beratungen,232.0,207.0,239.0,161.0,141.0,115.0,144.0,117.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-50.43103448275862,-50.4,0
97,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Kurzberatungen,54.0,58.0,56.0,74.0,44.0,40.0,44.0,41.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-25.925925925925924,-25.9,0
98,Leistungsmengen,Kosten pro Fall SPD,Abklärungen/Beratungen,855.0,901.0,855.0,644.0,765.0,709.0,805.0,723.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-17.076023391812868,-17.1,0
99,Leistungsmengen,Kosten pro Fall SPD,Beratungen,460.0,485.0,460.0,346.0,412.0,382.0,433.0,390.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-16.956521739130434,-17.0,0
100,Leistungsmengen,Kosten pro Fall SPD,Kurzberatungen,65.0,69.0,65.0,50.0,59.0,54.0,62.0,55.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-16.923076923076923,-16.9,0
101,Leistungsmengen,Anzahl Stellenprozent pro 100 Schüler:innen,im Schulpsychologischen Dienst,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
102,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Anzahl Fälle Schulsozialarbeit (SSA) (2),655.0,500.0,655.0,2146.0,699.0,3005.0,2102.0,3005.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",358.77862595419845,358.8,0
103,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Kosten pro Fall SPD,955.0,1143.0,1091.0,972.0,1089.0,1085.0,1089.0,1085.0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",13.612565445026178,13.6,0
104,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Anzahl Time-outs,10.0,10.0,10.0,6.0,2.0,1,0,0,,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-40.0,-40.0,0
105,Nettokosten,Kosten,Kosten,9945174.0,10780043.0,10961193.0,11719061.0,11510500.0,11652690.0,13221731.0,12426019.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,17.169292362305576,17.2,0
106,Nettokosten,Erlös,Erlös,1651493.0,2451700.0,2337828.0,2124668.0,1995800.0,2085228.0,2369444.0,2546020.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,26.26320547528812,26.3,0
107,Nettokosten,Nettokosten,Nettokosten,8293681.0,8328343.0,8623365.0,9594394.0,9514700.0,9567462.0,10852287.0,9879999.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,15.358451814097988,15.4,0
108,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,17.0,23.0,21.0,18.0,17.0,18.0,18.0,20.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,5.88235294117647,5.9,0
109,Operative Ziele,Die Leistungen der schulärztlichen (SAD) und schulzahnärztlichen Dienste (SZD) entsprechend den gesetzlichen Vorgaben,Nettokosten Schulzahnarzt je Schüler:innen,177.0,176.0,175.0,200.0,181.0,195.0,224.0,192.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,10.16949152542373,10.2,0
110,Operative Ziele,Die Leistungen der schulärztlichen (SAD) und schulzahnärztlichen Dienste (SZD) entsprechend den gesetzlichen Vorgaben,Nettokosten Schularzt je Schüler:innen,44.0,46.0,51.0,57.0,57.0,67.0,75.0,76.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,52.27272727272727,52.3,0
111,Operative Ziele,Den Schüler:innen steht ein bedarfsgerechtes Schulsportangebot zur Verfügung,Anzahl der freiwilligen Schulsportkurse,103.0,80.0,104.0,117.0,115.0,118.0,115.0,115.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,14.563106796116504,14.6,0
112,Leistungsmengen,Anzahl obligatorische Untersuchungen Schulzahnärztlicher Dienst (SZD),Anzahl obligatorische Untersuchungen Schulzahnärztlicher Dienst (SZD),9440.0,9400.0,9550.0,9822.0,9902.0,10514.0,10500.0,10900.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,11.377118644067796,11.4,0
113,Leistungsmengen,Städtische Beiträge an zahnärztliche Behandlungen in CHF,Städtische Beiträge an zahnärztliche Behandlungen in CHF,182952.0,315000.0,260000.0,345054.0,263442.0,302908.0,320000.0,325000.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,65.56692465783375,65.6,0
114,Leistungsmengen,Anzahl obligatorische Untersuchungen Schulärztlicher Dienst (SAD),Anzahl obligatorische Untersuchungen Schulärztlicher Dienst (SAD),1424.0,1760.0,1424.0,1575.0,1363.0,1287.0,1400.0,1300.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,-9.620786516853933,-9.6,0
115,Leistungsmengen,Anzahl verabreichte Impfungen gemäss Impfplan,Anzahl verabreichte Impfungen gemäss Impfplan,1154.0,700.0,1154.0,1286.0,853.0,1090.0,1400.0,1250.0,,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,-5.545927209705372,-5.5,0
116,1 Wirtschaftlichkeit,"Einkauf und Logistik Winterthur ist ein zentrales Dienstleistungs- und Beschaffungszentrum der Stadtverwaltung Winterthur. Durch optimierte Abläufe, koordinierte Beschaffung und eine effiziente Materialwirtschaft leistet sie den bestmöglichen Beitrag zur Kosteneinsparung. Messgrössen:",Der Kostendeckungsgrad in % für das Produkt 1,104.0,100.0,100.0,100.0,103.0,99.0,100.0,100.0,100.0,100.0,100.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-4.807692307692308,-4.8,0
117,1 Wirtschaftlichkeit,"Einkauf und Logistik Winterthur ist ein zentrales Dienstleistungs- und Beschaffungszentrum der Stadtverwaltung Winterthur. Durch optimierte Abläufe, koordinierte Beschaffung und eine effiziente Materialwirtschaft leistet sie den bestmöglichen Beitrag zur Kosteneinsparung. Messgrössen:",Der Kostendeckungsgrad in % für das Produkt 2,103.0,101.0,101.0,100.0,106.0,109.0,100.0,100.0,100.0,100.0,100.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),5.825242718446602,5.8,0
118,2. Wirkung,"Der Warenkorb mit den 50 umsatzstärksten Lagerartikeln wird im Durchschnitt gegenüber dem Fachhandel, dem Detailhandel und dem Internetmarkt, bei Einkauf und Logistik Winterthur um mindestens x % günstiger angeboten. Messung / Bewertung mit einem jährlich durchgeführten Preisvergleich Messgrösse:",Zielerreichungsgrad in %,24.0,10.0,10.0,18.0,8.0,14.0,15.0,15.0,15.0,15.0,15.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-41.66666666666667,-41.7,0
119,3 Qualität,Die Kundschaft ist mit den Dienstleistungen von Einkauf und Logistik Winterthur zufrieden. Messung / Bewertung. Die Zufriedenheit wird anhand der Reklamationen erhoben.,Anzahl Reklamationen infolge falschem Auslieferungsort,1.0,10.0,10.0,1.0,0.01,0.0,0.4,4.0,4.0,4.0,4.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-100.0,-100.0,0
120,3 Qualität,Die Kundschaft ist mit den Dienstleistungen von Einkauf und Logistik Winterthur zufrieden. Messung / Bewertung. Die Zufriedenheit wird anhand der Reklamationen erhoben.,Anzahl Reklamationen infolge verspätetem Liefertermin,0.0,12.0,12.0,0.0,0.0,0.0,0.2,2.0,2.0,2.0,2.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
121,3 Qualität,Die Kundschaft ist mit den Dienstleistungen von Einkauf und Logistik Winterthur zufrieden. Messung / Bewertung. Die Zufriedenheit wird anhand der Reklamationen erhoben.,Anzahl Reklamationen infolge mangelnder Produktqualität,0.0,8.0,8.0,3.0,0.01,0.03,0.4,4.0,4.0,4.0,4.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
122,4 Ökologie,Der Anteil von A4 Recycling-Kopierpapier und der Rücklauf von wieder verwertbaren Produkten wird gefördert. Messung / Bewertung:,Anteil von Recycling-Kopierpapieren gemessen am Gesamtverbrauch in % (mindestens),99.0,95.0,95.0,99.0,99.0,96.0,95.0,95.0,95.0,95.0,95.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-3.0303030303030303,-3.0,0
123,4 Ökologie,Der Anteil von A4 Recycling-Kopierpapier und der Rücklauf von wieder verwertbaren Produkten wird gefördert. Messung / Bewertung:,Anteil von Recycling + FSC-Papier gemessen am Gesamtverbrauch in %,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-1.0,-1.0,0
124,4 Ökologie,"Der gesamtstädtische Anteil an Normdrucksachen (Formulare, Couverts etc.), die auf Recyclingpapier gedruckt sind, wird gehalten Messgrösse:",Prozentualer Anteil,100.0,90.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0,90.0,90.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
125,4 Ökologie,Reduktion der CO2-Emissionen,Der Gesamtdurchschnittswert der CO2-Emissionen aller im Departement Schule und Sport im Einsatz stehenden Personenwagen in Gramm pro Kilometer.,148.0,130.0,125.0,123.0,116.0,113.0,116.0,116.0,116.0,116.0,116.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-23.64864864864865,-23.6,0
126,Globalkredit,Nettokosten / Globalkredit,Nettokosten / Globalkredit,-281740.0,-1005.0,-1200.0,-2590.0,-346789.0,-127090.0,18794.0,-7371.0,43823.0,43633.0,43272.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-54.891034286931216,-54.9,0
127,Globalkredit,Nettokosten / Globalkredit,Personalkosten,942235.0,960976.0,950170.0,1024897.0,1009778.0,1097624.0,1137801.0,1159085.0,1164611.0,1164611.0,1164611.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),16.49153342849714,16.5,0
128,Globalkredit,Nettokosten / Globalkredit,Sachkosten,7525242.0,5115486.0,5541822.0,6026150.0,7460561.0,6663786.0,6425301.0,6319926.0,6399926.0,6399926.0,6399926.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-11.447552118589673,-11.4,0
129,Globalkredit,Nettokosten / Globalkredit,Informatikkosten,,124254.0,132225.0,115185.0,122352.0,123992.0,136231.0,126181.0,126181.0,126181.0,126181.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
130,Globalkredit,Nettokosten / Globalkredit,Beiträge an Dritte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
131,Globalkredit,Nettokosten / Globalkredit,Residualkosten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
132,Globalkredit,Nettokosten / Globalkredit,Kalk. Abschreibungen und Zinsen /Finanzaufwand,0.0,0.0,0.0,38180.0,37332.0,48834.0,63164.0,50518.0,14662.0,14483.0,14304.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
133,Globalkredit,Nettokosten / Globalkredit,Mietkosten,257079.0,257000.0,257000.0,268991.0,293447.0,296302.0,290000.0,260000.0,260000.0,260000.0,260000.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),15.257177754697974,15.3,0
134,Globalkredit,Nettokosten / Globalkredit,Übrige Kosten,87569.0,62592.0,66006.0,76553.0,98090.0,112801.0,102146.0,85499.0,87023.0,87012.0,86829.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),28.813849649990292,28.8,0
135,Globalkredit,Nettokosten / Globalkredit,Kosten inkl. Verrechnung,8812126.0,6520308.0,6947223.0,7549956.0,9021560.0,8343339.0,8154643.0,8001208.0,8052402.0,8052212.0,8051851.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-5.319794564898414,-5.3,0
136,Globalkredit,Nettokosten / Globalkredit,Verrechnungen innerhalb PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
137,Globalkredit,Total effektive Kosten,Total effektive Kosten,8812126.0,6520308.0,6947223.0,7549956.0,9021560.0,8343339.0,8154643.0,8001208.0,8052402.0,8052212.0,8051851.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-5.319794564898414,-5.3,0
138,Globalkredit,Total effektive Kosten,Verkäufe,3476709.0,1345883.0,1344153.0,1603796.0,3365601.0,2695447.0,2019589.0,1930000.0,1930000.0,1930000.0,1930000.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-22.47130835511399,-22.5,0
139,Globalkredit,Total effektive Kosten,Gebühren,1011.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-95.15331355093967,-95.2,0
140,Globalkredit,Total effektive Kosten,Übrige externe Erlöse,960.0,960.0,960.0,48127.0,3472.0,320.0,960.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-66.66666666666666,-66.7,0
141,Globalkredit,Total effektive Kosten,Beiträge von Dritten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
142,Globalkredit,Total effektive Kosten,Interne Erlöse,5615186.0,5174470.0,5603310.0,5900623.0,5999276.0,5774612.0,6115300.0,6078579.0,6078579.0,6078579.0,6078579.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),2.839193572572663,2.8,0
143,Globalkredit,Total effektive Kosten,Erlöse inkl. Verrechnung,9093865.0,6521313.0,6948423.0,7552546.0,9368349.0,8470429.0,8135849.0,8008579.0,8008579.0,8008579.0,8008579.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-6.8555669124184275,-6.9,0
144,Globalkredit,Total effektive Kosten,Verrechnungen innerhalb PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
145,Globalkredit,Total effektive Erlöse,Total effektive Erlöse ,9093865.0,6521313.0,6948423.0,7552546.0,9368349.0,8470429.0,8135849.0,8008579.0,8008579.0,8008579.0,8008579.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-6.8555669124184275,-6.9,0
146,Globalkredit,Total effektive Erlöse,Total Nettokosten / Globalkredit (finanziert durch Steuern),-281740.0,-1005.0,-1200.0,-2590.0,-346789.0,-127090.0,18794.0,-7371.0,43823.0,43633.0,43272.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-54.891034286931216,-54.9,0
147,Globalkredit,Total Nettokosten / Globalkredit (finanziert durch Steuern),Kostendeckungsgrad in %,103.0,100.0,100.0,100.0,104.0,102.0,100.0,100.0,99.0,99.0,99.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-0.9708737864077669,-1.0,0
148,Stellenplan,Kostendeckungsgrad in %,Stelleneinheiten,7.7,8.0,8.0,8.8,9.0,9.1,9.5,9.5,,,,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),18.181818181818173,18.2,0
149,Stellenplan,Personal,Auszubildende,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,,,,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),50.0,50.0,0
150,Stellenplan,Personal,davon KV-Rotationsausbildungsplätze,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
151,Nettokosten,Kosten,Kosten,8485250.0,6221666.0,6647578.0,7139005.0,6275534.0,5955796.0,6465182.0,6135883.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-29.810011490527682,-29.8,0
152,Nettokosten,Erlös,Erlös,8786715.0,6220391.0,6649231.0,7142913.0,6485398.0,5868436.0,6451087.0,6228579.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-33.212400766384256,-33.2,0
153,Nettokosten,Nettokosten,Nettokosten,-301465.0,1275.0,-1653.0,-3908.0,-209865.0,87361.0,14095.0,-92696.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-128.97882009520177,-129.0,0
154,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,104.0,100.0,100.0,100.0,103.0,99.0,100.0,102.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-4.807692307692308,-4.8,0
155,Operative Ziele,Die Anzahl der Einkaufsbestellungen für Lagermaterial wird durch Optimierung der Bestellabläufe reduziert,Anzahl Einkaufsbestellungen Jeder Lagerartikel ist innert 4 Tagen lieferbar.,993.0,1600.0,1600.0,1098.0,1906.0,1270.0,1500.0,1400.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,27.895266868076536,27.9,0
156,Operative Ziele,Einhaltung der Lieferfristen in %,Einhaltung der Lieferfristen in %,100.0,90.0,90.0,100.0,100.0,100.0,90.0,90.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,0.0,0.0,0
157,Operative Ziele,Lagerumschlag pro Jahr (Umsatz : Lagerwert),Lagerumschlag pro Jahr (Umsatz : Lagerwert),9.0,3.5,3.5,10.1,12.8,12.6,7.0,7.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,40.0,40.0,0
158,Leistungsmengen,Anzahl der Bestellungen für Individualdrucksachen,Anzahl der Bestellungen für Individualdrucksachen,202.0,220.0,220.0,304.0,329.0,323.0,300.0,330.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,59.900990099009896,59.9,0
159,Leistungsmengen,Umsatzanteil der städtischen Schulen in %,Umsatzanteil der städtischen Schulen in %,66.0,65.0,65.0,73.0,71.0,73.0,70.0,70.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,10.606060606060606,10.6,0
160,Leistungsmengen,Anzahl Bestellungen insgesamt,Anzahl Bestellungen insgesamt,12641.0,14000.0,14000.0,18973.0,20438.0,19433.0,18000.0,18500.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,53.72992642987106,53.7,0
161,Leistungsmengen,Anzahl Bestellungen im Internet-Shop,Anzahl Bestellungen im Internet-Shop,7761.0,9000.0,9000.0,14474.0,15331.0,14920.0,13500.0,14000.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,92.24326762015205,92.2,0
162,Leistungsmengen,Anzahl Kundinnen und Kunden,Anzahl Kundinnen und Kunden,819.0,900.0,900.0,563.0,579.0,591.0,580.0,580.0,,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-27.83882783882784,-27.8,0
163,Nettokosten,Kosten,Kosten,298043.0,298642.0,299645.0,361922.0,2729601.0,2387543.0,1689461.0,1865325.0,,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),701.0733350556799,701.1,0
164,Nettokosten,Erlös,Erlös,307151.0,300922.0,299192.0,362466.0,2882951.0,2601993.0,1684762.0,1780000.0,,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),747.1380526190701,747.1,0
165,Nettokosten,Nettokosten,Nettokosten,-9108.0,-2280.0,453.0,-544.0,-153350.0,-214451.0,4698.0,85325.0,,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),2254.534475186649,2254.5,0
166,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,103.0,101.0,100.0,100.0,106.0,109.0,100.0,95.0,,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),5.825242718446602,5.8,0
167,Operative Ziele,Anzahl der Produktberatungen bei Beschaffungen von > Fr. 5000,für Druckaufträge,17.0,30.0,30.0,14.0,18.0,14.0,18.0,18.0,,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),-17.647058823529413,-17.6,0
168,Operative Ziele,Anzahl der Produktberatungen bei Beschaffungen von > Fr. 5000,für allgemeine Dienstleistungsaufträge,123.0,60.0,60.0,59.0,93.0,83.0,70.0,70.0,,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),-32.52032520325203,-32.5,0
169,Leistungen,Anteil des Aufwandes für städtische Schulen in %,Anteil des Aufwandes für städtische Schulen in %,85.0,85.0,85.0,88.0,88.0,91.0,80.0,80.0,,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),7.0588235294117645,7.1,0
170,1 Förderung der individuellen Fähigkeiten,"Jugendliche mit besonders hohem Förderbedarf bzw. mit Behinderungen können eine ihren Fähigkeiten entsprechende Ausbildung absolvieren. (W) (1)(2) Anzahl Jugendliche, die im Anschluss eine Berufsausbildung oder einer weiterführende Schule besuchen",Heilpädagogische Schule (HPS),12.0,14.0,112.0,10.0,3.0,10.0,4.0,4.0,4.0,9.0,12.0,Sonderschulung (530),Sonderschulung (530),-16.666666666666664,-16.7,0
171,1 Förderung der individuellen Fähigkeiten,"Jugendliche mit besonders hohem Förderbedarf bzw. mit Behinderungen können eine ihren Fähigkeiten entsprechende Ausbildung absolvieren. (W) (1)(2) Anzahl Jugendliche, die im Anschluss eine Berufsausbildung oder einer weiterführende Schule besuchen",Schule für cerebral gelähmte Kinder (CPS),12.0,4.0,6.0,6.0,5.0,3.0,5.0,6.0,8.0,8.0,8.0,Sonderschulung (530),Sonderschulung (530),-75.0,-75.0,0
172,1 Förderung der individuellen Fähigkeiten,"Jugendliche mit besonders hohem Förderbedarf bzw. mit Behinderungen können eine ihren Fähigkeiten entsprechende Ausbildung absolvieren. (W) (1)(2) Anzahl Jugendliche, die im Anschluss eine Berufsausbildung oder einer weiterführende Schule besuchen",Kleingruppenschule (KGS),6.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,Sonderschulung (530),Sonderschulung (530),33.33333333333333,33.3,0
173,1 Förderung der individuellen Fähigkeiten,"Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit individualisierten Lernzielen eine angemessene Anschlusslösung finden. (L)","Anzahl austretende Jugendliche, die eine berufliche Tätigkeit ausüben oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügen.",8.0,5.0,7.0,6.0,11.0,5.0,11.0,10.0,12.0,17.0,20.0,Sonderschulung (530),Sonderschulung (530),-37.5,-37.5,0
