,Hauptkategorie,Subkategorie_1,Subkategorie_2,Ist 2018,Soll 2019,Soll 2020,Ist 2021,Ist 2022,Ist 2023,Ist 2024,Soll 2025,Plan 2026,Plan 2027,Plan 2028,Produktgruppe,Subprodukt,Ist 2024 %,Percentagechange Ist 2018 vs. Ist 2024,Ist 2018 %
85,Leistungsmengen,Übertritte (in %) in die Mittelschule ab 2. Sek. (3j-Mittel),Übertritte (in %) in die Mittelschule ab 2. Sek. (3j-Mittel),6.0,6.0,6.0,7.0,7.0,5.0,,5.0,5.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
86,Leistungsmengen,Übertritte (in %) in die Mittelschule ab 3. Sek. (3j-Mittel),Übertritte (in %) in die Mittelschule ab 3. Sek. (3j-Mittel),4.0,6.0,5.0,4.0,4.0,6.0,,5.0,5.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
87,Leistungsmengen,Anzahl Vollzeiteinheiten für Sekundarstufe I,Anzahl Vollzeiteinheiten für Sekundarstufe I,157.8,155.3,159.0,174.3,176.0,192.0,194.0,219.5,201.5,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",22.94043092522179,22.9,0
88,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,gesamt,10.6,12.0,14.4,15.4,15.0,20.2,19.8,19.2,15.5,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",86.7924528301887,86.8,0
89,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Deutsch als Zweitsprache (DaZ),2.2,3.0,5.2,5.8,4.9,7.8,7.2,6.7,2.9,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",227.27272727272725,227.3,0
90,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Integrative Förderung (IF),5.7,6.0,6.0,7.0,7.4,9.5,9.6,9.7,9.7,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",68.42105263157893,68.4,0
91,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Integrative Förderung plus,0.6,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-100.0,-100.0,0
92,Leistungsmengen,Anzahl Vollzeiteinheiten / Lektionen sonderpädagogischer Massnahmen für die Unterstützung der integrativen Ausrichtung der Volksschule,davon Therapien,2.1,2.0,2.2,2.4,2.7,2.9,2.9,2.8,2.9,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",38.09523809523809,38.1,0
93,Leistungsmengen,Anteil (in %) von Schüler:innen in besonderen Klassen (1),Anteil (in %) von Schüler:innen in besonderen Klassen (1),1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",100.0,100.0,0
94,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Anzahl Fälle Schulpsychologischer Dienst (SPD),467.0,400.0,479.0,410.0,355.0,350.0,296.0,357.0,312.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-36.61670235546038,-36.6,0
95,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Abklärungen/Beratungen,181.0,135.0,186.0,174.0,170.0,196.0,174.0,200.0,185.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-3.867403314917127,-3.9,0
96,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Beratungen,232.0,207.0,239.0,161.0,141.0,115.0,90.0,117.0,96.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-61.206896551724135,-61.2,0
97,Leistungsmengen,Anzahl Fälle Schulpsychologischer Dienst (SPD),Kurzberatungen,54.0,58.0,56.0,74.0,44.0,40.0,32.0,41.0,34.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-40.74074074074074,-40.7,0
98,Leistungsmengen,Kosten pro Fall SPD,Abklärungen/Beratungen,855.0,901.0,855.0,644.0,765.0,709.0,761.0,723.0,761.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-10.994152046783626,-11.0,0
99,Leistungsmengen,Kosten pro Fall SPD,Beratungen,460.0,485.0,460.0,346.0,412.0,382.0,409.0,390.0,409.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-11.08695652173913,-11.1,0
100,Leistungsmengen,Kosten pro Fall SPD,Kurzberatungen,65.0,69.0,65.0,50.0,59.0,54.0,58.0,55.0,58.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-10.76923076923077,-10.8,0
101,Leistungsmengen,Anzahl Stellenprozent pro 100 Schüler:innen,im Schulpsychologischen Dienst,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",0.0,0.0,0
102,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Anzahl Fälle Schulsozialarbeit (SSA) (2),655.0,500.0,655.0,2146.0,699.0,3005.0,3256.0,3005.0,3005.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",397.09923664122135,397.1,0
103,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Kosten pro Fall SPD,955.0,1143.0,1091.0,972.0,1089.0,1085.0,1004.0,1085.0,1085.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",5.130890052356021,5.1,0
104,Leistungsmengen,Anzahl Fälle Schulsozialarbeit (SSA) (2),Anzahl Time-outs,10.0,10.0,10.0,6.0,2.0,6.0,5.0,10.0,10.0,,,Volksschule (510),"Produkt 2 Sekundarstufe I, inkl. integrative sonderpädagogische Massnahmen",-50.0,-50.0,0
105,Nettokosten,Kosten,Kosten,9945174.0,10780043.0,10961193.0,11719061.0,11510500.0,11652690.0,12434326.0,12456021.0,13527028.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,25.02874258409154,25.0,0
106,Nettokosten,Erlös,Erlös,1651493.0,2451700.0,2337828.0,2124668.0,1995800.0,2085228.0,2113852.0,2546020.0,2570644.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,27.996425052967222,28.0,0
107,Nettokosten,Nettokosten,Nettokosten,8293681.0,8328343.0,8623365.0,9594394.0,9514700.0,9567462.0,10320474.0,9910001.0,10956384.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,24.437797884919856,24.4,0
108,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,17.0,23.0,21.0,18.0,17.0,18.0,17.0,20.0,19.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,0.0,0.0,0
109,Operative Ziele,Die Leistungen der schulärztlichen (SAD) und schulzahnärztlichen Dienste (SZD) entsprechend den gesetzlichen Vorgaben,Nettokosten Schulzahnarzt je Schüler:innen,177.0,176.0,175.0,200.0,181.0,195.0,213.0,209.0,189.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,20.33898305084746,20.3,0
110,Operative Ziele,Die Leistungen der schulärztlichen (SAD) und schulzahnärztlichen Dienste (SZD) entsprechend den gesetzlichen Vorgaben,Nettokosten Schularzt je Schüler:innen,44.0,46.0,51.0,57.0,57.0,67.0,58.0,76.0,71.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,31.818181818181817,31.8,0
111,Operative Ziele,Den Schüler:innen steht ein bedarfsgerechtes Schulsportangebot zur Verfügung,Anzahl der freiwilligen Schulsportkurse,103.0,80.0,104.0,117.0,115.0,118.0,129.0,115.0,134.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,25.24271844660194,25.2,0
112,Leistungsmengen,Anzahl obligatorische Untersuchungen Schulzahnärztlicher Dienst (SZD),Anzahl obligatorische Untersuchungen Schulzahnärztlicher Dienst (SZD),9440.0,9400.0,9550.0,9822.0,9902.0,10514.0,10726.0,10900.0,10950.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,13.622881355932204,13.6,0
113,Leistungsmengen,Städtische Beiträge an zahnärztliche Behandlungen in CHF,Städtische Beiträge an zahnärztliche Behandlungen in CHF,182952.0,315000.0,260000.0,345054.0,263442.0,302908.0,314302.0,325000.0,315000.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,71.79478770387861,71.8,0
114,Leistungsmengen,Anzahl obligatorische Untersuchungen Schulärztlicher Dienst (SAD),Anzahl obligatorische Untersuchungen Schulärztlicher Dienst (SAD),1424.0,1760.0,1424.0,1575.0,1363.0,1287.0,1391.0,1300.0,1250.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,-2.317415730337079,-2.3,0
115,Leistungsmengen,Anzahl verabreichte Impfungen gemäss Impfplan,Anzahl verabreichte Impfungen gemäss Impfplan,1154.0,700.0,1154.0,1286.0,853.0,1090.0,1091.0,1250.0,1400.0,,,Volksschule (510),Produkt 3 Schulergänzende Angebote,-5.459272097053726,-5.5,0
116,1 Wirtschaftlichkeit,"Einkauf und Logistik Winterthur ist ein zentrales Dienstleistungs- und Beschaffungszentrum der Stadtverwaltung Winterthur. Durch optimierte Abläufe, koordinierte Beschaffung und eine effiziente Materialwirtschaft leistet sie den bestmöglichen Beitrag zur Kosteneinsparung. Messgrössen:",Der Kostendeckungsgrad in % für das Produkt 1,104.0,100.0,100.0,100.0,103.0,99.0,98.0,100.0,100.0,100.0,100.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-5.769230769230769,-5.8,0
117,1 Wirtschaftlichkeit,"Einkauf und Logistik Winterthur ist ein zentrales Dienstleistungs- und Beschaffungszentrum der Stadtverwaltung Winterthur. Durch optimierte Abläufe, koordinierte Beschaffung und eine effiziente Materialwirtschaft leistet sie den bestmöglichen Beitrag zur Kosteneinsparung. Messgrössen:",Der Kostendeckungsgrad in % für das Produkt 2,103.0,101.0,101.0,100.0,106.0,109.0,106.0,100.0,100.0,100.0,100.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),2.912621359223301,2.9,0
118,2. Wirkung,"Der Warenkorb mit den 50 umsatzstärksten Lagerartikeln wird im Durchschnitt gegenüber dem Fachhandel, dem Detailhandel und dem Internetmarkt, bei Einkauf und Logistik Winterthur um mindestens x % günstiger angeboten. Messung / Bewertung mit einem jährlich durchgeführten Preisvergleich Messgrösse:",Zielerreichungsgrad in %,24.0,10.0,10.0,18.0,8.0,14.0,17.0,15.0,10.0,15.0,15.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-29.166666666666668,-29.2,0
119,3 Qualität,Die Kundschaft ist mit den Dienstleistungen von Einkauf und Logistik Winterthur zufrieden. Messung / Bewertung. Die Zufriedenheit wird anhand der Reklamationen erhoben.,Anzahl Reklamationen infolge falschem Auslieferungsort,1.0,10.0,10.0,1.0,0.01,0.0,0.01,4.0,0.4,0.4,0.4,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-99.0,-99.0,0
120,3 Qualität,Die Kundschaft ist mit den Dienstleistungen von Einkauf und Logistik Winterthur zufrieden. Messung / Bewertung. Die Zufriedenheit wird anhand der Reklamationen erhoben.,Anzahl Reklamationen infolge verspätetem Liefertermin,0.0,12.0,12.0,0.0,0.0,0.0,0.0,2.0,0.2,0.2,0.2,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
121,3 Qualität,Die Kundschaft ist mit den Dienstleistungen von Einkauf und Logistik Winterthur zufrieden. Messung / Bewertung. Die Zufriedenheit wird anhand der Reklamationen erhoben.,Anzahl Reklamationen infolge mangelnder Produktqualität,0.0,8.0,8.0,3.0,0.01,0.03,0.02,4.0,0.4,0.4,0.4,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
122,4 Ökologie,Der Anteil von A4 Recycling-Kopierpapier und der Rücklauf von wieder verwertbaren Produkten wird gefördert. Messung / Bewertung:,Anteil von Recycling-Kopierpapieren gemessen am Gesamtverbrauch in % (mindestens),99.0,95.0,95.0,99.0,99.0,96.0,96.0,95.0,95.0,95.0,95.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-3.0303030303030303,-3.0,0
123,4 Ökologie,Der Anteil von A4 Recycling-Kopierpapier und der Rücklauf von wieder verwertbaren Produkten wird gefördert. Messung / Bewertung:,Anteil von Recycling + FSC-Papier gemessen am Gesamtverbrauch in %,100.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,99.0,99.0,100.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-1.0,-1.0,0
124,4 Ökologie,"Der gesamtstädtische Anteil an Normdrucksachen (Formulare, Couverts etc.), die auf Recyclingpapier gedruckt sind, wird gehalten Messgrösse:",Prozentualer Anteil,100.0,90.0,90.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,90.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
125,4 Ökologie,Reduktion der CO2-Emissionen,Der Gesamtdurchschnittswert der CO2-Emissionen aller im Departement Schule und Sport im Einsatz stehenden Personenwagen in Gramm pro Kilometer.,148.0,130.0,125.0,123.0,116.0,113.0,117.0,116.0,116.0,116.0,116.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-20.945945945945947,-20.9,0
126,Globalkredit,Nettokosten / Globalkredit,Nettokosten / Globalkredit,-281740.0,-1005.0,-1200.0,-2590.0,-346789.0,-127090.0,25014.0,2185.0,31375.0,44679.0,28989.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-108.87839852346136,-108.9,0
127,Globalkredit,Nettokosten / Globalkredit,Personalkosten,942235.0,960976.0,950170.0,1024897.0,1009778.0,1097624.0,1202287.0,1168154.0,1099269.0,1103269.0,1103269.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),27.599484205108066,27.6,0
128,Globalkredit,Nettokosten / Globalkredit,Sachkosten,7525242.0,5115486.0,5541822.0,6026150.0,7460561.0,6663786.0,6135494.0,6319926.0,6000706.0,5990206.0,6004706.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-18.467818044921348,-18.5,0
129,Globalkredit,Nettokosten / Globalkredit,Informatikkosten,,124254.0,132225.0,115185.0,122352.0,123992.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
130,Globalkredit,Nettokosten / Globalkredit,Beiträge an Dritte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
131,Globalkredit,Nettokosten / Globalkredit,Residualkosten,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
132,Globalkredit,Nettokosten / Globalkredit,Kalk. Abschreibungen und Zinsen /Finanzaufwand,0.0,0.0,0.0,38180.0,37332.0,48834.0,52610.0,50518.0,16389.0,16189.0,15989.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
133,Globalkredit,Nettokosten / Globalkredit,Mietkosten,257079.0,257000.0,257000.0,268991.0,293447.0,296302.0,227317.0,260000.0,260000.0,260000.0,260000.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-11.576986062650002,-11.6,0
134,Globalkredit,Nettokosten / Globalkredit,Übrige Kosten,87569.0,62592.0,66006.0,76553.0,98090.0,112801.0,94732.0,85986.0,171663.0,171667.0,171677.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),8.179835329854173,8.2,0
135,Globalkredit,Nettokosten / Globalkredit,Kosten inkl. Verrechnung,8812126.0,6520308.0,6947223.0,7549956.0,9021560.0,8343339.0,7839348.0,8010764.0,7699311.0,7742615.0,7726925.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-11.039084098434362,-11.0,0
136,Globalkredit,Nettokosten / Globalkredit,Verrechnungen innerhalb PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
137,Globalkredit,Total effektive Kosten,Total effektive Kosten,8812126.0,6520308.0,6947223.0,7549956.0,9021560.0,8343339.0,7839348.0,8010764.0,7699311.0,7742615.0,7726925.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-11.039084098434362,-11.0,0
138,Globalkredit,Total effektive Kosten,Verkäufe,3476709.0,1345883.0,1344153.0,1603796.0,3365601.0,2695447.0,2105074.0,1930000.0,1900000.0,1930000.0,1930000.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-39.452108301269966,-39.5,0
139,Globalkredit,Total effektive Kosten,Gebühren,1011.0,0.0,0.0,0.0,0.0,49.0,5440.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),438.0811078140455,438.1,0
140,Globalkredit,Total effektive Kosten,Übrige externe Erlöse,960.0,960.0,960.0,48127.0,3472.0,320.0,2696.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),180.83333333333334,180.8,0
141,Globalkredit,Total effektive Kosten,Beiträge von Dritten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
142,Globalkredit,Total effektive Kosten,Interne Erlöse,5615186.0,5174470.0,5603310.0,5900623.0,5999276.0,5774612.0,5701124.0,6078579.0,5767936.0,5767936.0,5767936.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),1.5304568717759304,1.5,0
143,Globalkredit,Total effektive Kosten,Erlöse inkl. Verrechnung,9093865.0,6521313.0,6948423.0,7552546.0,9368349.0,8470429.0,7814335.0,8008579.0,7667936.0,7697936.0,7697936.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-14.070255056568357,-14.1,0
144,Globalkredit,Total effektive Kosten,Verrechnungen innerhalb PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
145,Globalkredit,Total effektive Erlöse,Total effektive Erlöse ,9093865.0,6521313.0,6948423.0,7552546.0,9368349.0,8470429.0,7814335.0,8008579.0,7667936.0,7697936.0,7697936.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-14.070255056568357,-14.1,0
146,Globalkredit,Total effektive Erlöse,Total Nettokosten / Globalkredit (finanziert durch Steuern),-281740.0,-1005.0,-1200.0,-2590.0,-346789.0,-127090.0,25014.0,2185.0,31375.0,44679.0,28989.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-108.87839852346136,-108.9,0
147,Globalkredit,Total Nettokosten / Globalkredit (finanziert durch Steuern),Kostendeckungsgrad in %,103.0,100.0,100.0,100.0,104.0,102.0,100.0,100.0,100.0,99.0,100.0,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),-2.912621359223301,-2.9,0
148,Stellenplan,Kostendeckungsgrad in %,Stelleneinheiten,7.7,8.0,8.0,8.8,9.0,9.1,10.1,9.5,9.5,,,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),31.16883116883116,31.2,0
149,Stellenplan,Personal,Auszubildende,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,,,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
150,Stellenplan,Personal,davon KV-Rotationsausbildungsplätze,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,Einkauf und Logistik Winterthur (520),Einkauf und Logistik Winterthur (520),0.0,0.0,0
151,Nettokosten,Kosten,Kosten,8485250.0,6221666.0,6647578.0,7139005.0,6275534.0,5955796.0,5907117.0,6143050.0,5871911.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-30.38370112842874,-30.4,0
152,Nettokosten,Erlös,Erlös,8786715.0,6220391.0,6649231.0,7142913.0,6485398.0,5868436.0,5760583.0,6228579.0,5917936.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-34.43985607818166,-34.4,0
153,Nettokosten,Nettokosten,Nettokosten,-301465.0,1275.0,-1653.0,-3908.0,-209865.0,87361.0,146534.0,-85529.0,-46025.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-148.60730101338464,-148.6,0
154,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,104.0,100.0,100.0,100.0,103.0,99.0,98.0,101.0,101.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-5.769230769230769,-5.8,0
155,Operative Ziele,Die Anzahl der Einkaufsbestellungen für Lagermaterial wird durch Optimierung der Bestellabläufe reduziert,Anzahl Einkaufsbestellungen Jeder Lagerartikel ist innert 4 Tagen lieferbar.,993.0,1600.0,1600.0,1098.0,1906.0,1270.0,1233.0,1400.0,1100.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,24.169184290030213,24.2,0
156,Operative Ziele,Einhaltung der Lieferfristen in %,Einhaltung der Lieferfristen in %,100.0,90.0,90.0,100.0,100.0,100.0,100.0,90.0,90.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,0.0,0.0,0
157,Operative Ziele,Lagerumschlag pro Jahr (Umsatz : Lagerwert),Lagerumschlag pro Jahr (Umsatz : Lagerwert),9.0,3.5,3.5,10.1,12.8,12.6,12.2,7.0,7.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,35.55555555555554,35.6,0
158,Leistungsmengen,Anzahl der Bestellungen für Individualdrucksachen,Anzahl der Bestellungen für Individualdrucksachen,202.0,220.0,220.0,304.0,329.0,323.0,307.0,330.0,315.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,51.98019801980198,52.0,0
159,Leistungsmengen,Umsatzanteil der städtischen Schulen in %,Umsatzanteil der städtischen Schulen in %,66.0,65.0,65.0,73.0,71.0,73.0,75.0,70.0,70.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,13.636363636363635,13.6,0
160,Leistungsmengen,Anzahl Bestellungen insgesamt,Anzahl Bestellungen insgesamt,12641.0,14000.0,14000.0,18973.0,20438.0,19433.0,19417.0,18500.0,18500.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,53.603354165018594,53.6,0
161,Leistungsmengen,Anzahl Bestellungen im Internet-Shop,Anzahl Bestellungen im Internet-Shop,7761.0,9000.0,9000.0,14474.0,15331.0,14920.0,15118.0,14000.0,14000.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,94.79448524674655,94.8,0
162,Leistungsmengen,Anzahl Kundinnen und Kunden,Anzahl Kundinnen und Kunden,819.0,900.0,900.0,563.0,579.0,591.0,598.0,580.0,580.0,,,Einkauf und Logistik Winterthur (520),Produkt 1 Beschaffung und Verkauf,-26.984126984126984,-27.0,0
163,Nettokosten,Kosten,Kosten,298043.0,298642.0,299645.0,361922.0,2729601.0,2387543.0,1932232.0,1867714.0,1827400.0,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),548.3064524246502,548.3,0
164,Nettokosten,Erlös,Erlös,307151.0,300922.0,299192.0,362466.0,2882951.0,2601993.0,2051055.0,1780000.0,1750000.0,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),567.7676452298707,567.8,0
165,Nettokosten,Nettokosten,Nettokosten,-9108.0,-2280.0,453.0,-544.0,-153350.0,-214451.0,-118824.0,87714.0,77400.0,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),1204.6113306982872,1204.6,0
166,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,103.0,101.0,100.0,100.0,106.0,109.0,106.0,95.0,96.0,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),2.912621359223301,2.9,0
167,Operative Ziele,Anzahl der Produktberatungen bei Beschaffungen von > Fr. 5000,für Druckaufträge,17.0,30.0,30.0,14.0,18.0,14.0,12.0,18.0,20.0,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),-29.411764705882355,-29.4,0
168,Operative Ziele,Anzahl der Produktberatungen bei Beschaffungen von > Fr. 5000,für allgemeine Dienstleistungsaufträge,123.0,60.0,60.0,59.0,93.0,83.0,108.0,70.0,120.0,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),-12.195121951219512,-12.2,0
169,Leistungen,Anteil des Aufwandes für städtische Schulen in %,Anteil des Aufwandes für städtische Schulen in %,85.0,85.0,85.0,88.0,88.0,91.0,87.0,80.0,80.0,,,Einkauf und Logistik Winterthur (520),Produkt 2 Dienstleistungen (Konzerndienstleistungen),2.3529411764705883,2.4,0
170,1 Förderung der individuellen Fähigkeiten,"Jugendliche mit besonders hohem Förderbedarf bzw. mit Behinderungen können eine ihren Fähigkeiten entsprechende Ausbildung absolvieren. (W) (1)(2) Anzahl Jugendliche, die im Anschluss eine Berufsausbildung oder einer weiterführende Schule besuchen",Heilpädagogische Schule (HPS),12.0,14.0,112.0,10.0,3.0,10.0,4.0,4.0,4.0,4.0,4.0,Sonderschulung (530),Sonderschulung (530),-66.66666666666666,-66.7,0
171,1 Förderung der individuellen Fähigkeiten,"Jugendliche mit besonders hohem Förderbedarf bzw. mit Behinderungen können eine ihren Fähigkeiten entsprechende Ausbildung absolvieren. (W) (1)(2) Anzahl Jugendliche, die im Anschluss eine Berufsausbildung oder einer weiterführende Schule besuchen",Schule für cerebral gelähmte Kinder (CPS),12.0,4.0,6.0,6.0,5.0,3.0,4.0,6.0,5.0,4.0,4.0,Sonderschulung (530),Sonderschulung (530),-66.66666666666666,-66.7,0
